id	ubigeo_id	gerente_id	codigo	nombre	direccion	email	telefono	coordenada_gps
37	1562		SUC-0037	Sucursal 37	Av. Principal 37 # 705	sucursal37@banco.com	91219562	"-12.429872, -78.791619"
38	1840		SUC-0038	Sucursal 38	Av. Principal 38 # 951	sucursal38@banco.com	99840487	"-11.507952, -76.15413"
39	571		SUC-0039	Sucursal 39	Av. Principal 39 # 937	sucursal39@banco.com	97849799	"-5.142092, -78.241453"
40	907		SUC-0040	Sucursal 40	Av. Principal 40 # 292	sucursal40@banco.com	98765979	"-5.026712, -68.634286"
41	1367		SUC-0041	Sucursal 41	Av. Principal 41 # 117	sucursal41@banco.com	92286716	"-9.1337, -73.522529"
42	978		SUC-0042	Sucursal 42	Av. Principal 42 # 247	sucursal42@banco.com	95803801	"-11.418055, -69.742722"
43	848		SUC-0043	Sucursal 43	Av. Principal 43 # 473	sucursal43@banco.com	94572413	"-5.677441, -79.526852"
44	1068		SUC-0044	Sucursal 44	Av. Principal 44 # 227	sucursal44@banco.com	94759718	"-9.42643, -72.353019"
45	360		SUC-0045	Sucursal 45	Av. Principal 45 # 118	sucursal45@banco.com	95919727	"-15.138129, -78.110181"
46	1362		SUC-0046	Sucursal 46	Av. Principal 46 # 467	sucursal46@banco.com	97711391	"-3.693222, -70.464028"
47	440		SUC-0047	Sucursal 47	Av. Principal 47 # 533	sucursal47@banco.com	91677830	"-16.686946, -79.875867"
48	1542		SUC-0048	Sucursal 48	Av. Principal 48 # 106	sucursal48@banco.com	95369309	"-9.677987, -80.500813"
49	400		SUC-0049	Sucursal 49	Av. Principal 49 # 838	sucursal49@banco.com	92660962	"-10.81079, -80.027379"
50	936		SUC-0050	Sucursal 50	Av. Principal 50 # 351	sucursal50@banco.com	93248540	"-13.469349, -78.946106"
51	1539		SUC-0051	Sucursal 51	Av. Principal 51 # 390	sucursal51@banco.com	96904251	"-17.01827, -68.183932"
52	863		SUC-0052	Sucursal 52	Av. Principal 52 # 530	sucursal52@banco.com	95834161	"-12.836474, -74.282986"
53	727		SUC-0053	Sucursal 53	Av. Principal 53 # 858	sucursal53@banco.com	95400385	"-5.422966, -70.564131"
54	756		SUC-0054	Sucursal 54	Av. Principal 54 # 744	sucursal54@banco.com	94026808	"-17.180451, -73.691924"
55	1088		SUC-0055	Sucursal 55	Av. Principal 55 # 494	sucursal55@banco.com	94245980	"-4.251804, -79.322762"
56	410		SUC-0056	Sucursal 56	Av. Principal 56 # 437	sucursal56@banco.com	95083208	"-10.124804, -75.287518"
57	1566		SUC-0057	Sucursal 57	Av. Principal 57 # 616	sucursal57@banco.com	92313231	"-16.695993, -68.827857"
58	1720		SUC-0058	Sucursal 58	Av. Principal 58 # 191	sucursal58@banco.com	97251620	"-11.678042, -73.52002"
59	1230		SUC-0059	Sucursal 59	Av. Principal 59 # 767	sucursal59@banco.com	99336013	"-12.272659, -75.885282"
60	1134		SUC-0060	Sucursal 60	Av. Principal 60 # 711	sucursal60@banco.com	94881850	"-6.608424, -77.719862"
61	1459		SUC-0061	Sucursal 61	Av. Principal 61 # 809	sucursal61@banco.com	98855367	"-15.929609, -72.078269"
62	1622		SUC-0062	Sucursal 62	Av. Principal 62 # 824	sucursal62@banco.com	91161016	"-17.462209, -72.72053"
63	323		SUC-0063	Sucursal 63	Av. Principal 63 # 538	sucursal63@banco.com	99733542	"-5.867685, -72.193868"
64	938		SUC-0064	Sucursal 64	Av. Principal 64 # 315	sucursal64@banco.com	97554692	"-5.113478, -74.099264"
65	1787		SUC-0065	Sucursal 65	Av. Principal 65 # 444	sucursal65@banco.com	92610668	"-8.702946, -76.635591"
66	605		SUC-0066	Sucursal 66	Av. Principal 66 # 258	sucursal66@banco.com	96083751	"-11.740787, -76.064911"
67	149		SUC-0067	Sucursal 67	Av. Principal 67 # 884	sucursal67@banco.com	95033045	"-8.593928, -76.562024"
68	1457		SUC-0068	Sucursal 68	Av. Principal 68 # 760	sucursal68@banco.com	92712097	"-7.327109, -76.556507"
69	532		SUC-0069	Sucursal 69	Av. Principal 69 # 478	sucursal69@banco.com	97306701	"-12.264507, -69.782795"
70	1774		SUC-0070	Sucursal 70	Av. Principal 70 # 833	sucursal70@banco.com	93904052	"-11.071191, -76.432068"
71	1341		SUC-0071	Sucursal 71	Av. Principal 71 # 250	sucursal71@banco.com	98066600	"-5.892686, -76.898681"
72	1592		SUC-0072	Sucursal 72	Av. Principal 72 # 320	sucursal72@banco.com	97881891	"-16.699815, -77.00075"
73	1787		SUC-0073	Sucursal 73	Av. Principal 73 # 585	sucursal73@banco.com	95750606	"-14.633137, -72.168479"
74	1430		SUC-0074	Sucursal 74	Av. Principal 74 # 315	sucursal74@banco.com	95660057	"-5.853955, -70.089615"
75	504		SUC-0075	Sucursal 75	Av. Principal 75 # 807	sucursal75@banco.com	92970291	"-17.906384, -71.071739"
76	826		SUC-0076	Sucursal 76	Av. Principal 76 # 486	sucursal76@banco.com	97057115	"-13.002966, -70.112963"
77	1547		SUC-0077	Sucursal 77	Av. Principal 77 # 766	sucursal77@banco.com	98414323	"-15.869572, -68.679501"
78	489		SUC-0078	Sucursal 78	Av. Principal 78 # 872	sucursal78@banco.com	94516388	"-7.338873, -76.802887"
79	1360		SUC-0079	Sucursal 79	Av. Principal 79 # 567	sucursal79@banco.com	94301909	"-10.287621, -72.919728"
80	1096		SUC-0080	Sucursal 80	Av. Principal 80 # 400	sucursal80@banco.com	98224141	"-15.102789, -71.612599"
81	648		SUC-0081	Sucursal 81	Av. Principal 81 # 202	sucursal81@banco.com	97382085	"-5.288997, -68.377614"
82	1022		SUC-0082	Sucursal 82	Av. Principal 82 # 715	sucursal82@banco.com	92423703	"-16.256311, -72.648755"
83	379		SUC-0083	Sucursal 83	Av. Principal 83 # 424	sucursal83@banco.com	94826653	"-13.177878, -74.838321"
84	663		SUC-0084	Sucursal 84	Av. Principal 84 # 375	sucursal84@banco.com	99383260	"-12.550275, -78.216753"
85	1651		SUC-0085	Sucursal 85	Av. Principal 85 # 135	sucursal85@banco.com	94803168	"-14.799251, -72.106479"
86	1084		SUC-0086	Sucursal 86	Av. Principal 86 # 322	sucursal86@banco.com	93455386	"-13.054335, -68.736558"
87	1435		SUC-0087	Sucursal 87	Av. Principal 87 # 568	sucursal87@banco.com	97390834	"-4.2257, -68.583073"
88	1333		SUC-0088	Sucursal 88	Av. Principal 88 # 383	sucursal88@banco.com	91956321	"-14.193354, -78.528213"
89	452		SUC-0089	Sucursal 89	Av. Principal 89 # 343	sucursal89@banco.com	92054866	"-14.68777, -70.005092"
90	1348		SUC-0090	Sucursal 90	Av. Principal 90 # 832	sucursal90@banco.com	95813002	"-4.487451, -71.570298"
91	1043		SUC-0091	Sucursal 91	Av. Principal 91 # 489	sucursal91@banco.com	98018174	"-16.428544, -72.892386"
92	787		SUC-0092	Sucursal 92	Av. Principal 92 # 596	sucursal92@banco.com	93260107	"-17.043797, -73.972431"
93	1377		SUC-0093	Sucursal 93	Av. Principal 93 # 718	sucursal93@banco.com	97892181	"-9.033456, -74.070514"
94	899		SUC-0094	Sucursal 94	Av. Principal 94 # 176	sucursal94@banco.com	93992902	"-10.068149, -71.784219"
95	887		SUC-0095	Sucursal 95	Av. Principal 95 # 666	sucursal95@banco.com	92629032	"-14.4995, -79.64336"
96	1207		SUC-0096	Sucursal 96	Av. Principal 96 # 913	sucursal96@banco.com	98798141	"-6.091098, -80.675832"
97	791		SUC-0097	Sucursal 97	Av. Principal 97 # 715	sucursal97@banco.com	91177845	"-8.713733, -75.802967"
98	449		SUC-0098	Sucursal 98	Av. Principal 98 # 981	sucursal98@banco.com	91814563	"-8.915175, -75.340391"
99	1704		SUC-0099	Sucursal 99	Av. Principal 99 # 247	sucursal99@banco.com	99807092	"-5.933045, -76.266927"
100	405		SUC-0100	Sucursal 100	Av. Principal 100 # 447	sucursal100@banco.com	98655810	"-4.149513, -80.026685"
